real_name,transformation,map_to_2021
"How much of your time would you have preferred to work remotely last year?",_,1
"How much of your time would you have preferred to work remotely in the last 3 months?",_,2
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",_,3
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely",_,4
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - It was common for people in my organisation to work remotely",_,5
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - It was easy to get permission to work remotely",_,6
"Thinking about remote working last year, how strongly do you agree or disagree with the following statements? - I could easily collaborate with colleagues when working remotely",_,7
"Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - My organisation encouraged people to work remotely",_,3
"Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - My organisation was well prepared for me to work remotely",_,4
"Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - It was common for people in my organisation to work remotely",_,5
"Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - It was easy to get permission to work remotely",_,6
"Thinking about remote working in the last 3 months, how strongly do you agree or disagree with the following statements? - I could easily collaborate with colleagues when working remotely",_,7
"On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Preparing for work and commuting",_,8
"On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Working",_,9
"On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Personal and family time",_,10
"On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? - Caring and domestic responsibilities",_,11
"On a day when you do remote work, how many hours would you spend doing the following activities? - Preparing for work and commuting",_,12
"On a day when you do remote work, how many hours would you spend doing the following activities? - Working",_,13
"On a day when you do remote work, how many hours would you spend doing the following activities? - Personal and family time",_,14
"On a day when you do remote work, how many hours would you spend doing the following activities? - Caring and domestic responsibilities",_,15
